id,name,state,label,population,lat,lng
4115412,"Hot Springs","AR","Hot Springs, AR",35635,34.5037,-93.05518
5409260,"Wildomar","CA","Wildomar, CA",35632,33.59891,-117.28004
4414001,"Wentzville","MO","Wentzville, MO",35603,38.81144,-90.85291
5043799,"Roseville","MN","Roseville, MN",35580,45.00608,-93.15661
4176318,"Valrico","FL","Valrico, FL",35545,27.93789,-82.23644
5221637,"Coventry","RI","Coventry, RI",35525,41.7001,-71.68284
4723914,"Rosenberg","TX","Rosenberg, TX",35510,29.55718,-95.80856
4848489,"Bettendorf","IA","Bettendorf, IA",35505,41.52448,-90.51569
4192674,"East Point","GA","East Point, GA",35467,33.67955,-84.43937
4084796,"Prattville","AL","Prattville, AL",35420,32.46402,-86.4597
4169060,"Ponte Vedra Beach","FL","Ponte Vedra Beach, FL",35400,30.23969,-81.38564
5147784,"Boardman","OH","Boardman, OH",35376,41.02423,-80.66285
4151824,"Cooper City","FL","Cooper City, FL",35364,26.05731,-80.27172
7258432,"Oxon Hill-Glassmanor","MD","Oxon Hill-Glassmanor, MD",35355,38.79615,-76.97499
4154280,"Egypt Lake-Leto","FL","Egypt Lake-Leto, FL",35282,28.01769,-82.50619
5265228,"Oak Creek","WI","Oak Creek, WI",35243,42.88585,-87.86314
4215110,"Peachtree City","GA","Peachtree City, GA",35240,33.39678,-84.59576
4923482,"Merrillville","IN","Merrillville, IN",35224,41.48281,-87.33281
8605040,"Hot Springs National Park","AR","Hot Springs National Park, AR",35193,34.5317,-93.06377
4170965,"Saint Cloud","FL","Saint Cloud, FL",35183,28.2489,-81.28118
4704108,"La Porte","TX","La Porte, TX",35148,29.66578,-95.01937
4412697,"University City","MO","University City, MO",35058,38.65588,-90.30928
4526993,"Upper Arlington","OH","Upper Arlington, OH",34907,39.99451,-83.06241
4844309,"Torrington","CT","Torrington, CT",34906,41.80065,-73.12122
5328041,"Beverly Hills","CA","Beverly Hills, CA",34869,34.07362,-118.40036
5031412,"Inver Grove Heights","MN","Inver Grove Heights, MN",34857,44.84802,-93.04272
5221703,"Cumberland","RI","Cumberland, RI",34843,41.96677,-71.43284
5383720,"Pleasant Hill","CA","Pleasant Hill, CA",34810,37.94798,-122.0608
5173171,"Stow","OH","Stow, OH",34797,41.1595,-81.44039
4161616,"Lauderdale Lakes","FL","Lauderdale Lakes, FL",34796,26.16647,-80.20838
4635031,"La Vergne","TN","La Vergne, TN",34794,36.01562,-86.58194
4178573,"Winter Springs","FL","Winter Springs, FL",34789,28.69889,-81.30812
4164092,"Merritt Island","FL","Merritt Island, FL",34743,28.53917,-80.672
4177865,"West Little River","FL","West Little River, FL",34699,25.85704,-80.23699
5148480,"Brunswick","OH","Brunswick, OH",34689,41.23811,-81.8418
5391891,"San Dimas","CA","San Dimas, CA",34630,34.10668,-117.80673
4479946,"Monroe","NC","Monroe, NC",34623,34.98543,-80.54951
5310193,"Queen Creek","AZ","Queen Creek, AZ",34614,33.24866,-111.6343
5848189,"Kaneohe","HI","Kaneohe, HI",34597,21.39994,-157.79895
5155393,"Gahanna","OH","Gahanna, OH",34590,40.01923,-82.87934
4274317,"Leawood","KS","Leawood, KS",34579,38.96667,-94.6169
4547407,"Owasso","OK","Owasso, OK",34542,36.26954,-95.85471
5085382,"Derry Village","NH","Derry Village, NH",34539,42.89175,-71.31201
5102213,"Orange","NJ","Orange, NJ",34457,40.77066,-74.23265
5112078,"Central Islip","NY","Central Islip, NY",34450,40.79065,-73.20178
5203506,"Norristown","PA","Norristown, PA",34412,40.1215,-75.3399
5115614,"Dyker Heights","NY","Dyker Heights, NY",34399,40.62149,-74.00958
5118670,"Glendale","NY","Glendale, NY",34389,40.70149,-73.8868
5773304,"Cottonwood Heights","UT","Cottonwood Heights, UT",34343,40.61967,-111.81021
4624180,"Gallatin","TN","Gallatin, TN",34334,36.38838,-86.44666
4328010,"Houma","LA","Houma, LA",34287,29.59577,-90.71953
5389213,"Rubidoux","CA","Rubidoux, CA",34280,33.99613,-117.4056
5150792,"Collinwood","OH","Collinwood, OH",34220,41.55838,-81.56929
4832038,"Glendale Heights","IL","Glendale Heights, IL",34208,41.9146,-88.06486
5642934,"Butte","MT","Butte, MT",34190,46.00382,-112.53474
5341483,"Dana Point","CA","Dana Point, CA",34181,33.46697,-117.69811
4101241,"Benton","AR","Benton, AR",34177,34.56454,-92.58683
4095415,"Vestavia Hills","AL","Vestavia Hills, AL",34174,33.44872,-86.78777
5364059,"La Presa","CA","La Presa, CA",34169,32.70811,-116.99725
4776970,"Oakton","VA","Oakton, VA",34166,38.88095,-77.30082
4557137,"Chester","PA","Chester, PA",34092,39.84967,-75.35707
5804127,"Mount Vernon","WA","Mount Vernon, WA",34053,48.42122,-122.33405
4489985,"Salisbury","NC","Salisbury, NC",34017,35.67097,-80.47423
4170174,"Riviera Beach","FL","Riviera Beach, FL",34005,26.77534,-80.0581
5379566,"Orangevale","CA","Orangevale, CA",33960,38.67851,-121.22578
4904996,"Oswego","IL","Oswego, IL",33955,41.68281,-88.35146
5293996,"El Mirage","AZ","El Mirage, AZ",33935,33.61309,-112.3246
5815538,"West Lake Sammamish","WA","West Lake Sammamish, WA",33929,47.5776,-122.10123
4932869,"Chelmsford","MA","Chelmsford, MA",33925,42.59981,-71.36728
4985180,"Bay City","MI","Bay City, MI",33917,43.59447,-83.88886
4713735,"Nacogdoches","TX","Nacogdoches, TX",33894,31.60351,-94.65549
4950898,"Shrewsbury","MA","Shrewsbury, MA",33893,42.29593,-71.71285
5739936,"McMinnville","OR","McMinnville, OR",33892,45.21012,-123.19872
4190581,"Dalton","GA","Dalton, GA",33853,34.7698,-84.97022
4364537,"Olney","MD","Olney, MD",33844,39.15316,-77.06692
5223681,"North Providence","RI","North Providence, RI",33835,41.8501,-71.46617
4143861,"Newark","DE","Newark, DE",33817,39.68372,-75.74966
8097131,"Oak Hill","VA","Oak Hill, VA",33811,38.9258,-77.40156
4685737,"Deer Park","TX","Deer Park, TX",33806,29.70523,-95.12382
4996248,"Holland","MI","Holland, MI",33742,42.78752,-86.10893
5140945,"Throgs Neck","NY","Throgs Neck, NY",33683,40.8226,-73.81958
4904056,"Northbrook","IL","Northbrook, IL",33663,42.12753,-87.82895
5157588,"Hilliard","OH","Hilliard, OH",33649,40.0334,-83.15825
5815342,"Wenatchee","WA","Wenatchee, WA",33636,47.42346,-120.31035
5062458,"West Fargo","ND","West Fargo, ND",33597,46.87497,-96.90036
5097773,"Fair Lawn","NJ","Fair Lawn, NJ",33597,40.94038,-74.13181
4203696,"Kennesaw","GA","Kennesaw, GA",33584,34.02343,-84.61549
5128481,"New City","NY","New City, NY",33559,41.1476,-73.98931
5125086,"Long Beach","NY","Long Beach, NY",33550,40.58844,-73.65791
4305974,"Richmond","KY","Richmond, KY",33533,37.74786,-84.29465
7259061,"Suitland-Silver Hill","MD","Suitland-Silver Hill, MD",33515,38.84685,-76.92591
4351383,"Chillum","MD","Chillum, MD",33513,38.96372,-76.99081
5350159,"Foster City","CA","Foster City, CA",33477,37.55855,-122.27108
4511263,"Fairborn","OH","Fairborn, OH",33452,39.82089,-84.01938
5372223,"Menlo Park","CA","Menlo Park, CA",33449,37.45383,-122.18219
5365603,"Lawndale","CA","Lawndale, CA",33430,33.88724,-118.35257
4200671,"Hinesville","GA","Hinesville, GA",33398,31.84688,-81.59595
4740328,"Waxahachie","TX","Waxahachie, TX",33384,32.38653,-96.84833
7259034,"St. Charles","MD","St. Charles, MD",33379,38.60728,-76.92478
4917089,"Woodridge","IL","Woodridge, IL",33370,41.74697,-88.05034
4150115,"Carrollwood","FL","Carrollwood, FL",33365,28.05002,-82.49287
4890925,"Elk Grove Village","IL","Elk Grove Village, IL",33238,42.00392,-87.97035
4905599,"Pekin","IL","Pekin, IL",33223,40.56754,-89.64066
5530932,"Socorro","TX","Socorro, TX",33222,31.65456,-106.30331
5116508,"Elmont","NY","Elmont, NY",33198,40.70094,-73.71291
5322400,"Adelanto","CA","Adelanto, CA",33166,34.58277,-117.40922
